strain	host	long_name	target	replicate	score
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	R. corynebacteroides PID5	C	2
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	S. aureus PID40	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	A. baumannii PID42	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	E. coli K-12 MG1665	C	0
p3-SID4086	p3-HID408	p3-SID4086 (p3-HID408)	P. aeruginosa 27873	C	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	M. luteus PID19	A	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	R. corynebacteroides PID5	A	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	S. aureus PID40	A	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	A. baumannii PID42	A	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	E. coli K-12 MG1665	A	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	P. aeruginosa 27873	A	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	M. luteus PID19	B	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	R. corynebacteroides PID5	B	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	S. aureus PID40	B	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	A. baumannii PID42	B	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	E. coli K-12 MG1665	B	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	P. aeruginosa 27873	B	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	M. luteus PID19	C	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	R. corynebacteroides PID5	C	2
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	S. aureus PID40	C	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	A. baumannii PID42	C	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	E. coli K-12 MG1665	C	0
p3-SID4100	p3-HID411	p3-SID4100 (p3-HID411)	P. aeruginosa 27873	C	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	M. luteus PID19	A	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	R. corynebacteroides PID5	A	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	S. aureus PID40	A	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	A. baumannii PID42	A	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	E. coli K-12 MG1665	A	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	P. aeruginosa 27873	A	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	M. luteus PID19	B	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	R. corynebacteroides PID5	B	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	S. aureus PID40	B	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	A. baumannii PID42	B	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	E. coli K-12 MG1665	B	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	P. aeruginosa 27873	B	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	M. luteus PID19	C	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	R. corynebacteroides PID5	C	2
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	S. aureus PID40	C	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	A. baumannii PID42	C	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	E. coli K-12 MG1665	C	0
p3-SID4111	p3-HID411	p3-SID4111 (p3-HID411)	P. aeruginosa 27873	C	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	M. luteus PID19	A	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	R. corynebacteroides PID5	A	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	S. aureus PID40	A	0
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	A. baumannii PID42	A	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	E. coli K-12 MG1665	A	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	P. aeruginosa 27873	A	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	M. luteus PID19	B	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	R. corynebacteroides PID5	B	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	S. aureus PID40	B	0
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	A. baumannii PID42	B	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	E. coli K-12 MG1665	B	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	P. aeruginosa 27873	B	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	M. luteus PID19	C	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	R. corynebacteroides PID5	C	2
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	S. aureus PID40	C	0
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	A. baumannii PID42	C	1
p3-SID4123	p3-HID413	p3-SID4123 (p3-HID413)	E. coli K-12 MG1665	C	2
